公司,Data Field,2016/12/30,2017/3/31,2017/6/30,2017/9/30
1240 茂生農經,M負債比率％,0,44.59,0,41.55
1258 其祥-KY,M負債比率％,0,0,0,0
1259 安心,M負債比率％,0,0,0,0
1264 德麥,M負債比率％,0,0,0,0
1268 漢來美食,M負債比率％,0,0,0,0
1333 恩得利,M負債比率％,0,0,0,0
1336 台翰,M負債比率％,0,0,0,0
1565 精華,M負債比率％,0,0,0,0
1569 濱川,M負債比率％,0,0,0,0
1570 力肯,M負債比率％,0,0,0,0
1580 新麥,M負債比率％,0,0,0,0
1584 精剛,M負債比率％,43.31,55.32,56.81,56.33
1586 和勤,M負債比率％,0,0,0,0
1591 駿吉-KY,M負債比率％,0,0,0,0
1593 祺驊,M負債比率％,0,0,0,0
1595 川寶,M負債比率％,0,0,0,0
1597 直得,M負債比率％,0,0,0,0
1599 宏佳騰,M負債比率％,0,0,0,0
1742 台蠟,M負債比率％,0,0,0,0
1752 南光,M負債比率％,0,0,0,0
1777 生泰,M負債比率％,0,0,0,0
1781 合世,M負債比率％,0,0,0,0
1784 訊聯,M負債比率％,0,0,0,0
1785 光洋科,M負債比率％,0,0,0,0
1787 福盈科,M負債比率％,0,0,0,0
1788 杏昌,M負債比率％,0,0,0,0
1795 美時,M負債比率％,45.36,0,0,0
1796 金穎生技,M負債比率％,32.9,0,0,0
1799 易威,M負債比率％,0,0,0,0
1813 寶利徠,M負債比率％,0,0,0,0
1815 富喬,M負債比率％,0,0,0,0
2035 唐榮,M負債比率％,0,0,0,0
2061 風青,M負債比率％,0,0,0,0
2063 世鎧,M負債比率％,0,0,0,0
2064 晉椿,M負債比率％,53.21,0,0,0
2065 世豐,M負債比率％,0,0,0,0
2066 世德,M負債比率％,36.6,0,0,0
2067 嘉鋼,M負債比率％,0,0,0,0
2070 精湛,M負債比率％,45.75,0,0,0
2221 大甲,M負債比率％,0,0,0,0
2230 泰茂,M負債比率％,0,0,0,0
2235 謚源,M負債比率％,0,0,0,0
2596 綠意,M負債比率％,0,0,0,0
2640 大車隊,M負債比率％,0,0,0,0
2641 正德,M負債比率％,0,0,0,0
2643 捷迅,M負債比率％,0,0,0,0
2718 晶悅,M負債比率％,0,0,0,0
2719 燦星旅,M負債比率％,52.06,52.72,58.42,59.8
2724 富驛-KY,M負債比率％,0,0,0,0
2726 雅茗-KY,M負債比率％,0,0,0,0
2729 瓦城,M負債比率％,0,0,0,0
2732 六角,M負債比率％,0,0,0,0
2734 易飛網,M負債比率％,0,49.45,45.08,38.37
2736 高野,M負債比率％,38.67,0,0,0
2740 天蔥,M負債比率％,42.38,46.49,51.62,52.54
2745 五福,M負債比率％,0,0,0,0
2752 豆府,M負債比率％,31.47,0,33.77,0
2916 滿心,M負債比率％,0,0,0,0
2924 東凌-KY,M負債比率％,0,0,0,0
2926 誠品生活,M負債比率％,0,0,0,0
2928 紅馬-KY,M負債比率％,0,0,0,0
2937 集雅社,M負債比率％,0,0,0,0
3064 泰偉,M負債比率％,0,0,0,0
3066 李洲,M負債比率％,0,0,0,0
3067 全域,M負債比率％,0,0,0,0
3071 協禧,M負債比率％,0,0,0,0
3073 凱柏實業,M負債比率％,41.95,42.21,40.29,40.11
3078 僑威,M負債比率％,0,0,0,0
3081 聯亞,M負債比率％,0,0,0,0
3083 網龍,M負債比率％,0,0,0,0
3085 新零售,M負債比率％,0,0,0,0
3086 華義,M負債比率％,0,0,0,0
3088 艾訊,M負債比率％,0,0,0,0
3089 元炬,M負債比率％,0,0,0,0
3092 鴻碩,M負債比率％,0,0,0,0
3093 港建,M負債比率％,0,0,0,0
3095 及成,M負債比率％,0,0,0,0
3105 穩懋,M負債比率％,0,0,0,0
3114 好德,M負債比率％,0,0,0,0
3115 寶島極,M負債比率％,0,0,0,0
3118 進階,M負債比率％,0,0,0,0
3122 笙泉,M負債比率％,0,0,0,0
3128 昇銳,M負債比率％,0,0,0,0
3131 弘塑,M負債比率％,0,0,0,0
3141 晶宏,M負債比率％,0,0,0,0
3144 新揚科,M負債比率％,0,0,0,0
3147 大綜,M負債比率％,0,0,0,0
3152 璟德,M負債比率％,0,0,0,0
3162 精確,M負債比率％,0,0,0,0
3163 波若威,M負債比率％,0,0,0,0
3169 亞信,M負債比率％,0,0,0,0
3171 新洲,M負債比率％,0,0,0,0
3176 基亞,M負債比率％,0,0,0,0
3178 公準,M負債比率％,0,0,0,0
3188 鑫龍騰,M負債比率％,0,0,0,0
3191 和進,M負債比率％,41.21,34.93,34.78,37.14
3202 樺晟,M負債比率％,0,0,0,0
3205 佰研,M負債比率％,0,0,0,0
3206 志豐,M負債比率％,0,0,0,0
3207 耀勝,M負債比率％,0,0,0,0
3211 順達,M負債比率％,0,0,0,0
3213 茂訊,M負債比率％,26.23,26.01,35.92,27.39
3217 優群,M負債比率％,0,0,0,0
3218 大學光,M負債比率％,0,0,0,0
3219 倚強股份,M負債比率％,0,0,0,0
3221 台嘉碩,M負債比率％,0,0,0,0
3224 三顧,M負債比率％,0,0,0,0
3226 至寶電,M負債比率％,0,0,0,0
3227 原相,M負債比率％,0,0,0,0
3228 金麗科,M負債比率％,0,0,0,0
3230 錦明,M負債比率％,0,0,0,0
3232 昱捷,M負債比率％,0,0,0,0
3234 光環,M負債比率％,0,0,0,0
3236 千如,M負債比率％,0,0,0,0
3252 海灣,M負債比率％,0,0,0,0
3259 鑫創,M負債比率％,0,0,0,0
3260 威剛,M負債比率％,0,0,0,0
3264 欣銓,M負債比率％,0,0,0,0
3265 台星科,M負債比率％,0,0,0,0
3268 海德威,M負債比率％,0,0,0,0
3272 東碩,M負債比率％,0,0,0,0
3276 宇環,M負債比率％,0,0,0,0
3284 太普高,M負債比率％,0,0,0,0
3285 微端,M負債比率％,0,0,0,0
3287 廣寰科,M負債比率％,0,0,0,0
3288 點晶,M負債比率％,0,0,0,0
3289 宜特,M負債比率％,0,0,0,0
3290 東浦,M負債比率％,0,0,0,0
3293 鈊象,M負債比率％,0,0,0,0
3294 英濟,M負債比率％,0,0,0,0
3297 杭特,M負債比率％,0,0,0,0
