證券代碼,Data Field,2013/6/28,2013/7/31,2013/8/30,2013/9/30,2013/10/31,2013/11/29,2013/12/31,2014/1/27,2014/2/27,2014/3/31,2014/4/30,2014/5/30,2014/6/30
1565 精華,月報酬率 %,15.4074,7.702,-0.9065,-0.0001,6.2655,3.0058,-4.4894,-7.7556,7.2613,-19.3587,-5.8912,17.2146,-1.4685
1565 精華,現股當沖比重,0,0,0,0,0,0,0,4.75,7.59,5.28,9.99,13.99,1.04
1785 光洋科,月報酬率 %,-10.9376,-3.5087,-1.7806,2.745,-4.3895,-0.9979,2.8225,5.8824,2.0371,-2.3594,-0.3717,3.7313,5.2158
1785 光洋科,現股當沖比重,0,0,0,0,0,0,0,2.6,2.27,2.87,2.4,4.58,2.6
1795 美時,月報酬率 %,-1.0099,10.6123,-2.3986,14.7447,18.5752,4.8389,26.2935,0.3323,46.7992,0.7519,-12.6864,36.7523,7.8124
1795 美時,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
3081 聯亞,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0
3081 聯亞,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
3105 穩懋,月報酬率 %,-14.9473,0.9329,-11.6807,2.0147,-6.8222,-4.0462,11.4458,-4.5047,4.151,-4.8914,2.4763,7.6207,5.0087
3105 穩懋,現股當沖比重,0,0,0,0,0,0,0,1.12,2.94,1.73,5.45,4.79,5.26
3152 璟德,月報酬率 %,-5.005,7.5268,19.7414,17.0302,-2.2387,17.1756,4.8862,-13.6646,5.7555,4.762,-3.2467,-0.3357,-1.6836
3152 璟德,現股當沖比重,0,0,0,0,0,0,0,2.58,4.67,4.27,9.96,0,0
3227 原相,月報酬率 %,-3.6451,-4.6051,5.3142,0.8488,-6.0608,-14.3368,5.2299,0.9941,15.3544,15.5292,-12.8507,16.9492,11.8843
3227 原相,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
3264 欣銓,月報酬率 %,-6.6667,1.8518,1.4677,2.4655,5.3475,5.0763,5.7971,14.1552,4.2001,3.2628,-4.8329,5.6641,0.5541
3264 欣銓,現股當沖比重,0,0,0,0,0,0,0,3.41,1.76,3.41,4.85,1.14,0.42
3293 鈊象,月報酬率 %,-8.2369,-10.493,-4.9981,0.323,-7.2465,-3.4723,4.3165,-3.6208,16.2789,34.9229,-2.0524,48.4285,21.961
3293 鈊象,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
3324 雙鴻,月報酬率 %,-18.1443,1.2593,-2.3563,-4.0183,14.5713,8.7284,1.1468,5.4424,26.0216,-9.7269,-6.2384,10.2824,-12.6143
3324 雙鴻,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
3529 力旺,月報酬率 %,9.836,8.4915,-10.9005,-4.7873,0.6981,3.19,6.1828,18.4807,37.8206,61.2406,2.1635,34.5882,26.9232
3529 力旺,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
3611 鼎翰,月報酬率 %,-7.0923,22.9182,9.4155,-7.1217,19.489,10.4276,7.264,6.5463,12.0765,10.019,-15.8077,6.7346,20.4592
3611 鼎翰,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
4107 邦特,月報酬率 %,10.2332,5.7578,18.8775,10.2065,7.1046,-6.7994,15.1244,-6.9552,15.6146,-2.1552,-4.4054,8.2949,8.5108
4107 邦特,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
4123 晟德,月報酬率 %,-0.3589,9.0036,7.4891,56.8431,-2.2124,-0.7542,-5.775,-1.9354,13.3225,3.0479,2.9577,28.4542,34.1853
4123 晟德,現股當沖比重,0,0,0,0,0,0,0,1.55,5.73,6.48,6.87,5.89,8.07
4162 智擎,月報酬率 %,-6.4864,2.0232,35.1839,8.5469,3.937,-3.2196,-17.0253,8.9622,7.3592,-3.4275,5.428,33.4651,-6.5282
4162 智擎,現股當沖比重,0,0,0,0,0,0,0,7.83,4.21,14.31,22.46,25.66,18.49
4736 泰博,月報酬率 %,12.9945,21.6664,6.4605,13.9223,-6.463,-8.417,5.6244,-4.2858,20.7598,2.9213,-2.6201,45.7401,-10.7693
4736 泰博,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
4947 昂寶-KY,月報酬率 %,-3.1389,33.3558,-2.8776,18.5186,9.0624,25.2149,25.8579,2.1819,5.694,12.7947,-18.2089,5.8395,-11.8966
4947 昂寶-KY,現股當沖比重,0,0,0,0,0,0,0,11.42,9.19,12.56,4.2,12.59,19.22
4966 譜瑞-KY,月報酬率 %,-20.6668,-7.7731,29.3848,2.7013,6.796,-21.5909,35.0725,-7.2961,8.3335,7.0511,2.7943,33.7862,16.9814
4966 譜瑞-KY,現股當沖比重,0,0,0,0,0,0,0,4.25,5.67,15.12,9.59,14.21,18.92
5263 智崴,月報酬率 %,-2.3683,1.7521,-2.6672,11.3726,-0.2603,30.3781,78,55.0565,46.1959,32.5898,-0.7478,16.1957,-2.7552
5263 智崴,現股當沖比重,0,0,0,0,0,0,0,0,0,0,16.3,27.33,19.72
5274 信驊,月報酬率 %,-0.671,25.6755,-2.7604,-0.0001,-16.8604,19.5805,11.1109,4.2105,11.1112,20.909,-1.8797,2.8735,-0.3724
5274 信驊,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
5289 宜鼎,月報酬率 %,10.8714,9.1317,6.5283,3.9576,-4.8368,1.6129,7.9365,4.7059,-1.8259,2.1459,4.622,6.5596,13.1907
5289 宜鼎,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
5347 世界,月報酬率 %,-8.7249,-9.2282,7.8333,-0.0001,-1.7001,9.2768,1.8706,-5.3675,33.5821,1.4524,-9.2511,12.8641,3.1181
5347 世界,現股當沖比重,0,0,0,0,0,0,0,3.49,5.91,7.66,10.59,5.12,4.78
5371 中光電,月報酬率 %,-8.0223,9.8914,0.5782,-4.2147,3.2001,3.4886,10.2995,-4.5841,7.6514,20.3307,-1.0991,-3.3334,-3.8796
5371 中光電,現股當沖比重,0,0,0,0,0,0,0,0.66,6.86,3.05,3.2,1.46,2.24
5425 台半,月報酬率 %,-4.6512,26.451,7.0177,-2.8688,1.8986,-2.6914,22.5535,1.7361,3.7543,20.5593,-9.4134,12.8013,-2.2697
5425 台半,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
5457 宣德,月報酬率 %,1.497,0.2952,4.7058,3.6517,0.813,-5.3761,15.0566,24.9383,5.1384,-10.3383,1.048,28.4231,23.9096
5457 宣德,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
5483 中美晶,月報酬率 %,-6.083,-7.9016,-2.9538,14.4928,3.2913,6.3723,16.82,9.4676,2.1622,-5.9968,-5.2532,12.8713,-5.0875
5483 中美晶,現股當沖比重,0,0,0,0,0,0,0,4.91,12.12,11.29,4.85,8.99,6.41
5536 聖暉,月報酬率 %,-3.7313,2.1678,-2.8806,0.8474,5.8823,-2.381,-2.0324,-0.8299,5.8578,-1.1859,-7.1999,-9.9139,5.7418
5536 聖暉,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6121 新普,月報酬率 %,-4.7619,6.9263,8.3334,0.3496,0.6971,-8.9965,0.3803,5.303,-1.7985,6.2271,8.2758,0.6368,17.0887
6121 新普,現股當沖比重,0,0,0,0,0,0,0,1.89,0.86,4.13,9.39,2.08,5.29
6147 頎邦,月報酬率 %,-8.2396,-9.932,5.7572,-8.9687,-2.4631,4.2088,-24.3132,0.8537,9.6298,3.861,-4.0893,3.6822,-1.8691
6147 頎邦,現股當沖比重,0,0,0,0,0,0,0,4.49,3.87,4.98,4.9,3.23,2.8
6173 信昌電,月報酬率 %,-7.7624,0.99,-2.1568,9.2185,-5.9633,-4.6832,4.4014,1.4707,16.425,-1.6598,-7.5948,9.5894,4.9999
6173 信昌電,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6180 橘子,月報酬率 %,-6.9597,-3.1494,-1.2194,4.1151,-4.743,0.2076,3.5197,11.0001,2.8829,16.4622,8.2708,4.3056,1.1983
6180 橘子,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6182 合晶,月報酬率 %,-13.2308,-6.0281,-10.9434,33.0512,1.274,-5.0314,10.2651,-2.4023,0.923,1.5244,-7.5075,-5.8442,2.4136
6182 合晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6188 廣明,月報酬率 %,5.3541,0.3854,-2.5553,0.6992,6.5973,-2.6058,3.0101,21.9156,5.0599,-1.3939,-3.342,5.5851,4.5339
6188 廣明,現股當沖比重,0,0,0,0,0,0,0,4.27,3.84,5.09,4.71,4.71,8.51
6238 勝麗,月報酬率 %,23.757,-26.7856,85.3659,-31.9078,36.2319,3.5462,20.2056,-0.2849,10.5714,3.8762,28.3582,16.2789,-0.6668
6238 勝麗,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6274 台燿,月報酬率 %,-6.731,14.1753,9.1851,-6.0088,2.74,-1.5558,3.386,21.1794,-0.1802,1.4441,4.6261,-5.9525,-3.4357
6274 台燿,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6279 胡連,月報酬率 %,-2.9578,24.6663,2.4274,10.9004,3.3116,-4.8602,-1.0234,-4.1021,7.6299,1.7187,5.5966,9.5,6.8492
6279 胡連,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6290 良維,月報酬率 %,-2.3671,0.708,2.1738,16.8084,-4.736,-8.0306,12.474,3.5119,42.857,3.5001,-3.6232,-3.8849,-4.9544
6290 良維,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6462 神盾,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,121.3467
6462 神盾,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6488 環球晶,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0
6488 環球晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
