證券代碼,Data Field,2014/1/27,2014/2/27,2014/3/31,2014/4/30,2014/5/30,2014/6/30,2014/7/31,2014/8/29,2014/9/30,2014/10/31,2014/11/28,2014/12/31
1565 精華,月報酬率 %,-7.7556,7.2613,-19.3587,-5.8912,17.2146,-1.4685,-14.4984,1.6186,5.178,-17.8462,-10.7679,9.5491
1565 精華,現股當沖比重,4.75,7.59,5.28,9.99,13.99,1.04,5.3,1.67,5.5,7.65,9.13,6.9
1785 光洋科,月報酬率 %,5.8824,2.0371,-2.3594,-0.3717,3.7313,5.2158,-0.6271,-1.2456,-5.9459,-8.2375,-3.5491,8.8745
1785 光洋科,現股當沖比重,2.6,2.27,2.87,2.4,4.58,2.6,1.38,2.77,5.67,17.48,7.46,3.24
1795 美時,月報酬率 %,0.3323,46.7992,0.7519,-12.6864,36.7523,7.8124,-8.4057,-13.9241,-6.9853,-30.3556,8.8536,8.9675
1795 美時,現股當沖比重,0,0,0,0,0,0,19.17,14.43,14.22,18.77,18.78,19.97
3081 聯亞,月報酬率 %,0,0,0,0,0,0,7.7382,2.0442,8.0671,-3.7474,4.6069,0.761
3081 聯亞,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3105 穩懋,月報酬率 %,-4.5047,4.151,-4.8914,2.4763,7.6207,5.0087,-7.7457,14.6619,-4.4263,-6.0035,7.4817,0.5094
3105 穩懋,現股當沖比重,1.12,2.94,1.73,5.45,4.79,5.26,1.54,1.91,6.72,1.99,2.53,2.09
3152 璟德,月報酬率 %,-13.6646,5.7555,4.762,-3.2467,-0.3357,-1.6836,1.4999,-5.986,-8.2398,-6.5306,12.227,-1.1673
3152 璟德,現股當沖比重,2.58,4.67,4.27,9.96,0,0,0,0,0,0,0,0
3227 原相,月報酬率 %,0.9941,15.3544,15.5292,-12.8507,16.9492,11.8843,11.3993,-15.9859,8.2621,-11.1842,-3.1112,3.3637
3227 原相,現股當沖比重,0,0,0,0,0,0,0,0,0,3.7,3.27,6.56
3264 欣銓,月報酬率 %,14.1552,4.2001,3.2628,-4.8329,5.6641,0.5541,-5.1469,12.7089,-4.8738,-9.298,2.5105,6.5307
3264 欣銓,現股當沖比重,3.41,1.76,3.41,4.85,1.14,0.42,4.11,2.47,11.35,8.66,1.38,4.88
3293 鈊象,月報酬率 %,-3.6208,16.2789,34.9229,-2.0524,48.4285,21.961,-2.5724,8.4122,-0.3088,-17.9567,9.4342,4.1378
3293 鈊象,現股當沖比重,0,0,0,0,0,0,0,0,0,20.88,15.83,18.63
